Jenis_Hewan,Usia,Jenis_Kelamin,Berat_Badan_kg,Gejala_1,Gejala_2,Gejala_3,Gejala_4,Durasi,Nafsu_Makan_Hilang,Muntah,Diare,Batuk,Kesulitan_Bernafas,Pincang,Lesi_Kulit,Keluar_Lendir_Hidung,Keluar_Cairan_Mata,Suhu_Tubuh,Detak_Jantung,Prediksi_Penyakit
Kuda,5,Jantan,550.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,39.5°C,110,Equine Infectious Anemia
Sapi,3,Betina,600.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,39.4°C,95,Penyakit Pernapasan Sapi
Domba,6,Jantan,120.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,7 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,39.5°C,85,Scrapie
Kambing,2,Betina,80.0,Muntah,Diare,Lesu,Demam,4 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.7°C,90,Artritis Ensefalitis Kaprin
Babi,3,Jantan,160.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,39.5°C,105,Influenza Babi
Kuda,6,Jantan,700.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,7 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,39.6°C,115,Herpesvirus Kuda
Sapi,4,Betina,650.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,39.5°C,90,Tuberkulosis Sapi
Kelinci,2,Jantan,1.6,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,39.2°C,130,Penyakit Hemoragik Kelinci
Domba,7,Jantan,130.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,39.3°C,85,Virus Lidah Biru
Kambing,3,Betina,75.0,Muntah,Diare,Lesu,Demam,4 hari,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,39.7°C,95,Artritis Ensefalitis Kaprin
Babi,5,Jantan,140.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,39.5°C,100,Demam Babi Afrika
Anjing,2,Jantan,6.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,3 hari,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Ya,39.3°C,130,Distemper Anjing
Kucing,6,Jantan,9.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Ya,39.4°C,140,Herpesvirus Kucing
Kuda,7,Betina,550.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,7 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,39.7°C,100,Equine Infectious Anemia
Sapi,8,Betina,750.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,39.3°C,80,Penyakit Pernapasan Sapi
Kelinci,1,Betina,1.4,Bersin,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,3 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,39.2°C,130,Penyakit Hemoragik Virus Kelinci
Domba,6,Jantan,125.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,7 hari,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,Ya,39.6°C,85,Penyakit Scrapie
Kambing,4,Jantan,80.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,39.6°C,90,Penyakit Pernapasan Kambing
Babi,6,Betina,130.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,Ya,39.4°C,95,Demam Babi
Anjing,2,Jantan,10.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.4°C,120,Leptospirosis Anjing
Kucing,4,Betina,7.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,Ya,39.0°C,130,Asma Kucing
Kuda,5,Jantan,680.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,39.4°C,105,Laminitis Kuda
Sapi,3,Jantan,700.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.2°C,90,Mastitis Sapi
Sapi,3,Jantan,580.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.4°C,85,Penyakit Pernapasan Sapi
Domba,4,Jantan,125.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Ya,39.3°C,80,Scrapie
Kambing,3,Betina,75.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,39.5°C,90,Artritis Ensefalitis Kaprin
Babi,4,Jantan,130.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.6°C,100,Flu Babi
Domba,3,Betina,110.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.4°C,80,Lidah Biru
Kambing,5,Jantan,85.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,39.6°C,95,Cacar Kambing
Babi,2,Betina,120.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,39.5°C,105,Virus Diare Epidemik Babi
Kuda,4,Jantan,650.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,6 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,39.6°C,120,Herpesvirus Kuda
Sapi,3,Betina,700.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,39.4°C,90,Penyakit Pernapasan Sapi
Kambing,4,Betina,70.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,39.5°C,90,Artritis Ensefalitis Kaprin
Babi,3,Jantan,150.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,39.7°C,105,Influenza Babi
Anjing,3,Betina,30.0,Lesu,Muntah,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,39.3°C,120,Hepatitis Infeksius Anjing
Kucing,5,Jantan,8.0,Batuk,Kehilangan Nafsu Makan,Keluar Lendir Hidung,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,39.0°C,135,Virus Panleukopenia Kucing
Kuda,6,Betina,650.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Ya,Ya,39.5°C,110,Sindrom Metabolik Kuda
Sapi,2,Jantan,550.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,39.2°C,95,Mastitis Sapi
Sapi,4,Betina,700.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,Ya,39.4°C,100,Penyakit Pernapasan Sapi
Domba,3,Jantan,110.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Tidak,39.3°C,80,Lidah Biru
Kambing,2,Betina,70.0,Muntah,Diare,Lesu,Demam,4 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,39.4°C,90,Artritis Ensefalitis Kaprin
Babi,3,Jantan,130.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.6°C,105,Influenza Babi
Sapi,2,Jantan,500.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.4°C,95,Tuberkulosis Sapi
Domba,4,Betina,120.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,6 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.4°C,85,Scrapie
Kambing,3,Jantan,75.0,Muntah,Diare,Lesu,Demam,5 hari,Ya,Ya,Ya,Tidak,Ya,Tidak,Ya,Ya,Tidak,39.5°C,100,Artritis Virus Kambing
Babi,2,Betina,120.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.6°C,110,Penyakit Circovirus Babi
Kambing,4,Betina,80.0,Muntah,Diare,Lesu,Demam,6 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.5°C,95,Penyakit Pernapasan Kambing
Babi,5,Jantan,145.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,4 hari,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Ya,39.7°C,110,Demam Babi
Domba,5,Jantan,150.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Ya,39.5°C,90,Scrapie
Domba,6,Jantan,130.0,Batuk,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Ya,Ya,Tidak,Ya,Ya,Tidak,Ya,39.3°C,80,Penyakit Mulut dan Kuku
Anjing,5,Jantan,35.0,Batuk,Lesu,Kehilangan Nafsu Makan,Demam,4 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,39.2°C,110,Parvovirus Anjing
Anjing,4,Jantan,30.0,Muntah,Kehilangan Nafsu Makan,Lesu,Demam,5 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,39.2°C,100,Parvovirus Anjing
Kucing,3,Betina,5.0,Batuk,Bersin,Keluar Lendir Hidung,Demam,4 hari,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Tidak,39.1°C,110,Calicivirus Kucing
Kuda,5,Jantan,450.0,Pincang,Kehilangan Nafsu Makan,Swollen Legs,Demam,7 hari,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,39.4°C,110,Equine Infectious Anemia
Kuda,6,Jantan,700.0,Pincang,Swollen Legs,Kehilangan Nafsu Makan,Demam,7 hari,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,39.4°C,125,Herpesvirus Kuda
Anjing,4,Jantan,25.0,Demam,Lesu,Kehilangan Nafsu Makan,Muntah,3 hari,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.5°C,120,Parvovirus
Kucing,2,Betina,4.5,Batuk,Bersin,Keluar Cairan Mata,Keluar Lendir Hidung,1 minggu,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,38.9°C,150,Infeksi Saluran Pernapasan Atas
Sapi,3,Betina,600.0,Demam,Keluar Lendir Hidung,Kesulitan Bernafas,Batuk,5 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,40.1°C,90,Penyakit Mulut dan Kuku
Anjing,1,Jantan,10.0,Diare,Muntah,Lesu,Kehilangan Nafsu Makan,2 hari,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.2°C,130,Gastroenteritis
Kucing,5,Jantan,3.8,Lesu,Kehilangan Nafsu Makan,Lesi Kulit,,2 minggu,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,38.7°C,160,Infeksi Jamur
Kuda,6,Betina,500.0,Batuk,Kesulitan Bernafas,Keluar Lendir Hidung,Demam,10 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,39.8°C,85,Influenza Kuda
Anjing,3,Betina,30.0,Pincang,Demam,Lesi Kulit,Lesu,7 hari,Ya,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,39.3°C,110,Penyakit Lyme
Kucing,2,Jantan,6.0,Muntah,Kehilangan Nafsu Makan,Lesu,Diare,4 hari,Ya,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.1°C,140,Parasit Usus
Anjing,5,Jantan,23.0,Kesulitan Bernafas,Batuk,Keluar Lendir Hidung,Kehilangan Nafsu Makan,6 hari,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Ya,Tidak,40.0°C,115,Distemper Anjing
Sapi,4,Betina,580.0,Lesu,Penurunan Produksi Susu,Demam,,8 hari,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,39.6°C,70,Mastitis
